username,password,Pizza,Burger,Pasta,Sushi,Kebab,taco,Salad,Steak,Sandwich,Chicken,qorme,rice,fish,total
user1,pass1,2,1,0,3,1,0,2,1,0,1,2,1,0,14
user2,pass2,0,2,1,1,0,3,1,0,1,2,0,2,1,14
user3,pass3,3,0,2,0,1,1,0,2,1,0,3,1,1,15
user4,pass4,1,1,1,2,0,0,3,1,2,1,0,2,0,14
user5,pass5,0,3,0,1,2,1,1,0,1,3,1,0,2,15
user6,pass6,2,2,1,0,3,0,0,1,2,1,1,1,0,14
user7,pass7,1,0,3,1,1,2,2,0,0,1,0,2,1,14
user8,pass8,3,1,0,2,1,1,0,3,1,0,2,1,0,15
user9,pass9,0,2,2,1,0,1,1,0,3,2,1,0,2,15
user10,pass10,2,1,1,0,2,3,0,1,0,1,2,1,1,15
user11,pass11,1,0,2,3,1,0,1,2,1,0,0,3,1,15
user12,pass12,0,1,1,2,3,0,2,1,1,2,0,1,0,14
user13,pass13,3,0,1,1,2,1,0,1,2,0,3,1,0,15
user14,pass14,2,3,0,0,1,2,1,1,0,1,1,0,2,14
user15,pass15,1,2,3,1,0,0,2,0,1,3,0,1,1,15
user16,pass16,0,1,2,0,3,1,1,2,1,0,2,1,0,14
user17,pass17,3,2,1,1,0,1,0,1,3,0,1,2,0,15
user18,pass18,2,0,0,3,1,2,1,0,1,1,0,3,0,14
user19,pass19,1,3,1,0,2,0,0,2,0,2,1,1,2,15
user20,pass20,0,2,0,1,1,3,2,1,1,0,1,0,2,14
hesam,hesam1385,0,0,0,0,0,0,0,0,0,0,0,0,0,0
